id,count
0,91
1,206
2,103
4,32
5,57
10,122
11,239
12,328
15,36
17,124
18,269
23,255
25,120
26,40
31,143
39,184
40,27
41,146
42,393
43,161
51,227
52,89
54,18
60,147
61,127
62,116
63,27
65,119
66,112
68,165
71,73
80,30
82,59
94,126
98,261
101,32
102,143
107,129
112,236
113,77
115,54
116,121
120,150
121,62
122,304
132,188
143,85
147,61
150,18
151,88
152,241
153,93
155,158
156,78
159,201
161,120
163,46
177,189
186,16
188,21
190,97
191,75
192,286
195,272
200,144
209,294
210,15
211,219
214,121
215,27
218,98
219,33
222,120
225,16
228,299
236,230
241,36
242,166
243,230
245,20
247,242
251,125
252,89
253,85
254,79
258,341
260,55
261,147
265,113
266,260
267,271
269,173
270,67
275,97
278,37
279,85
286,94
287,28
288,217
289,151
293,19
294,148
297,37
302,120
303,63
304,48
307,98
309,18
311,175
312,119
314,180
315,236
319,163
322,116
323,59
325,136
327,162
330,37
332,210
333,17
338,99
341,106
345,161
348,110
349,47
350,117
352,53
355,15
356,213
358,56
363,134
369,165
371,18
372,148
375,268
380,141
388,46
391,145
392,224
393,395
394,204
396,27
401,37
407,113
409,91
410,114
416,112
418,120
420,139
421,235
422,135
424,284
428,362
429,213
431,155
435,13
439,114
441,12
447,100
449,149
451,152
452,18
454,217
458,211
463,124
467,15
470,278
471,171
474,258
478,17
483,123
484,146
485,85
486,124
491,96
494,99
495,217
497,201
499,152
515,127
518,204
521,190
525,134
529,271
532,155
534,109
540,115
544,293
547,176
549,45
563,35
564,148
567,123
572,122
577,137
578,277
585,367
588,144
589,121
590,108
592,17
594,259
596,15
598,366
599,134
605,37
606,133
607,222
608,213
609,61
610,271
611,173
614,140
615,217
616,235
617,130
618,220
624,118
629,128
631,95
633,96
637,23
638,103
643,65
644,140
645,36
646,190
648,178
650,38
651,198
652,149
656,146
657,19
659,83
660,203
662,100
665,388
675,281
681,160
682,199
685,21
686,228
689,25
696,124
703,138
704,96
705,117
714,228
717,106
718,15
720,86
721,263
723,218
726,186
728,145
730,222
731,26
734,366
737,84
738,18
745,143
746,28
749,223
752,26
753,168
758,234
765,16
766,229
768,88
769,196
774,147
775,111
781,52
784,286
794,18
795,248
796,86
802,138
803,225
805,35
806,260
807,102
809,16
810,160
812,196
814,119
818,242
819,140
825,54
836,114
839,126
847,253
848,169
851,128
852,136
853,31
857,157
858,42
859,216
861,24
867,95
870,173
871,146
872,219
874,381
881,200
886,132
890,56
895,144
899,89
900,259
901,230
902,238
903,40
913,239
918,166
923,117
924,37
926,26
927,19
930,213
934,33
937,147
939,149
941,90
942,397
946,256
950,96
953,83
959,113
961,28
962,98
964,83
969,188
971,149
976,42
978,252
980,141
981,161
990,392
993,20
996,21
998,271
999,191
1006,121
1008,15
1013,31
1015,97
1016,121
1022,279
1026,203
1028,232
1031,70
1034,48
1037,190
1040,64
1042,19
1046,18
1048,102
1049,105
1050,63
1051,207
1052,231
1055,187
1060,159
1064,27
1066,75
1071,98
1073,14
1089,222
1091,108
1092,79
1093,227
1096,271
1097,210
1098,19
1099,38
1102,185
1107,102
1109,43
1111,161
1112,115
1114,290
1116,263
1117,123
1118,86
1122,145
1124,179
1127,119
1133,218
1134,37
1135,127
1139,258
1143,54
1150,119
1151,112
1153,263
1155,27
1162,29
1163,197
1166,20
1171,87
1172,17
1173,237
1174,81
1177,122
1178,126
1184,176
1185,109
1186,122
1187,171
1188,263
1191,139
1207,119
1213,48
1215,126
1223,176
1227,119
1236,56
1237,54
1238,19
1241,30
1248,17
1250,36
1251,146
1253,116
1255,99
1257,175
1261,118
1262,357
1265,140
1273,166
1277,227
1278,133
1280,114
1284,213
1285,291
1288,33
1295,116
1297,362
1299,240
1304,140
1308,42
1310,96
1311,135
1314,95
1315,112
1318,32
1320,280
1321,261
1322,233
1330,105
1333,167
1334,195
1341,134
1344,152
1351,249
1354,107
1356,58
1363,121
1365,136
1369,142
1373,114
1375,109
1377,88
1379,136
1380,245
1381,103
1384,179
1390,189
1393,239
1395,54
1399,336
1400,93
1401,188
1404,139
1408,15
1409,28
1413,210
1416,251
1418,100
1423,106
1424,28
1425,17
1433,252
1434,142
1436,344
1442,223
1444,86
1445,131
1452,236
1455,165
1462,58
1467,75
1472,44
1475,194
1493,123
1501,229
1503,263
1504,223
1505,14
1511,221
1512,52
1513,118
1514,38
1528,255
1533,242
1534,29
1536,140
1537,75
1539,230
1550,127
1552,210
1554,148
1555,383
1556,102
1559,33
1563,243
1566,150
1567,119
1568,27
1571,229
1572,18
1574,50
1577,18
1583,50
1585,31
1586,139
1587,202
1596,139
1602,34
1604,82
1605,35
1610,272
1611,92
1616,33
1617,96
1618,17
1622,46
1623,34
1628,279
1631,18
1632,192
1633,238
1634,277
1636,222
1637,101
1643,120
1644,103
1646,95
1648,209
1651,33
1656,20
1658,138
1659,18
1665,174
1666,141
1670,41
1674,143
1679,194
1680,216
1683,340
1686,28
1691,97
1693,34
1696,41
1697,98
1703,101
1706,27
1709,171
1710,89
1712,198
1713,129
1718,355
1719,176
1722,258
1723,126
1724,248
1728,63
1730,32
1732,28
1737,40
1745,90
1747,15
1748,14
1755,109
1759,18
1761,244
1764,226
1765,148
1766,93
1768,107
1770,29
1771,139
1774,101
1785,134
1788,195
1792,15
1794,223
1797,125
1798,14
1799,282
1802,103
