id,count
0,88.69
1,241.88
2,95.8
4,28.76
5,35.65
10,113.18
11,251.85
12,349.67
15,41.97
17,148.64
18,268.97
23,275.57
25,106.37
26,41.06
31,144.2
39,139.4
40,27.1
41,146.36
42,390.03
43,215.55
51,211.78
52,86.15
54,17.88
60,141.79
61,139.21
62,106.47
63,28.89
65,112.95
66,112.65
68,134.6
71,82.98
80,29.49
82,68.97
94,127.91
98,243.74
101,35.4
102,165.01
107,91.93
112,192.6
113,64.62
115,51.34
116,117.42
120,145.37
121,78.0
122,291.79
132,207.66
143,74.14
147,61.13
150,16.18
151,89.56
152,231.85
153,90.63
155,167.08
156,51.86
159,194.16
161,130.17
163,48.84
177,202.76
186,15.54
188,19.23
190,100.65
191,88.45
192,275.95
195,280.26
200,136.78
209,302.93
210,13.5
211,197.02
214,151.62
215,23.15
218,97.31
219,31.27
222,161.25
225,15.7
228,287.78
236,192.37
241,37.33
242,175.4
243,225.63
245,16.64
247,233.33
251,136.0
252,84.65
253,85.22
254,92.67
258,321.08
260,49.29
261,129.03
265,93.1
266,259.26
267,278.19
269,177.24
270,66.96
275,96.07
278,37.89
279,87.12
286,98.41
287,29.14
288,235.96
289,135.3
293,20.6
294,118.56
297,34.13
302,127.78
303,67.58
304,43.56
307,102.79
309,15.43
311,171.84
312,117.48
314,193.33
315,198.96
319,152.77
322,107.29
323,63.45
325,131.58
327,150.94
330,37.67
332,202.68
333,19.13
338,99.4
341,118.71
345,161.82
348,101.36
349,47.38
350,118.25
352,50.12
355,18.89
356,229.41
358,55.4
363,125.36
369,187.57
371,18.12
372,158.53
375,267.31
380,136.44
388,45.39
391,142.26
392,238.31
393,388.08
394,211.33
396,26.62
401,36.94
407,81.78
409,102.37
410,108.57
416,102.53
418,114.49
420,132.86
421,164.81
422,136.98
424,275.73
428,328.78
429,214.62
431,156.29
435,15.23
439,107.74
441,13.89
447,83.77
449,149.16
451,149.31
452,16.54
454,206.87
458,209.66
463,115.63
467,13.79
470,250.1
471,177.2
474,267.22
478,15.4
483,133.36
484,128.78
485,92.05
486,123.04
491,95.36
494,99.64
495,221.85
497,217.03
499,161.41
515,125.52
518,199.83
521,211.17
525,121.14
529,279.76
532,149.31
534,81.84
540,102.26
544,291.38
547,230.46
549,45.67
563,37.78
564,171.26
567,126.51
572,114.66
577,128.18
578,238.21
585,343.39
588,144.56
589,106.92
590,102.3
592,15.55
594,230.45
596,15.96
598,349.15
599,125.48
605,32.44
606,124.14
607,259.46
608,220.23
609,62.84
610,276.42
611,199.73
614,150.87
615,214.79
616,252.5
617,133.34
618,246.16
624,122.29
629,125.43
631,97.27
633,92.42
637,24.42
638,95.97
643,67.75
644,135.82
645,35.76
646,198.02
648,180.47
650,37.57
651,220.85
652,157.35
656,124.18
657,17.1
659,88.39
660,177.38
662,101.31
665,378.17
675,281.63
681,140.24
682,234.44
685,19.67
686,187.82
689,22.99
696,131.46
703,139.39
704,93.62
705,102.8
714,236.59
717,101.29
718,13.8
720,69.66
721,237.88
723,235.72
726,173.3
728,139.55
730,213.92
731,27.25
734,358.27
737,72.75
738,17.94
745,151.7
746,25.65
749,217.77
752,23.22
753,157.71
758,215.03
765,15.64
766,217.9
768,89.96
769,236.85
774,134.86
775,102.34
781,51.26
784,308.32
794,18.59
795,253.6
796,84.3
802,151.57
803,230.67
805,36.57
806,263.49
807,96.45
809,14.53
810,176.34
812,215.5
814,118.6
818,237.93
819,189.47
825,48.6
836,102.94
839,132.69
847,244.22
848,196.26
851,125.94
852,143.23
853,32.78
857,180.62
